comment_id,post_id,author_id,created_at,like_count
c0000001,post000001,u00209,2025-03-03T00:28:31,2
c0000002,post000002,u00120,2025-03-03T00:39:09,1
c0000003,post000001,u00380,2025-03-03T00:50:11,0
c0000004,post000002,u00192,2025-03-03T03:32:35,0
c0000005,post000003,u00192,2025-03-03T03:49:13,1
c0000006,post000001,u00096,2025-03-03T06:21:51,1
c0000007,post000003,u00133,2025-03-03T06:40:32,1
c0000008,post000003,u00268,2025-03-03T06:51:42,1
c0000009,post000001,u00222,2025-03-03T06:57:14,1
c0000010,post000001,u00117,2025-03-03T07:36:26,0
c0000011,post000002,u00225,2025-03-03T07:47:25,2
c0000012,post000004,u00037,2025-03-03T08:05:51,0
c0000013,post000006,u00098,2025-03-03T08:12:35,0
c0000014,post000003,u00097,2025-03-03T08:15:09,2
c0000015,post000002,u00090,2025-03-03T09:00:45,1
c0000016,post000007,u00006,2025-03-03T09:08:30,2
c0000017,post000005,u00339,2025-03-03T09:21:24,0
c0000018,post000003,u00265,2025-03-03T09:31:01,0
c0000019,post000003,u00339,2025-03-03T09:42:58,1
c0000020,post000007,u00186,2025-03-03T10:31:57,0
c0000021,post000008,u00333,2025-03-03T11:02:47,1
c0000022,post000007,u00259,2025-03-03T11:11:02,1
c0000023,post000007,u00260,2025-03-03T11:27:42,1
c0000024,post000005,u00397,2025-03-03T11:37:17,0
c0000025,post000010,u00037,2025-03-03T11:43:50,1
c0000026,post000011,u00101,2025-03-03T11:53:12,2
c0000027,post000001,u00096,2025-03-03T12:05:41,1
c0000028,post000001,u00175,2025-03-03T12:11:35,2
c0000029,post000008,u00185,2025-03-03T12:49:48,0
c0000030,post000011,u00006,2025-03-03T13:08:56,2
c0000031,post000008,u00013,2025-03-03T13:59:05,1
c0000032,post000001,u00090,2025-03-03T14:15:00,1
c0000033,post000002,u00189,2025-03-03T14:19:43,0
c0000034,post000009,u00172,2025-03-03T14:34:29,2
c0000035,post000004,u00383,2025-03-03T14:37:17,3
c0000036,post000010,u00098,2025-03-03T15:03:25,0
c0000037,post000009,u00348,2025-03-03T15:15:25,1
c0000038,post000005,u00259,2025-03-03T15:50:31,2
c0000039,post000012,u00210,2025-03-03T17:18:59,1
c0000040,post000011,u00067,2025-03-03T17:36:36,0
c0000041,post000013,u00192,2025-03-03T17:42:23,2
c0000042,post000010,u00003,2025-03-03T18:33:05,2
c0000043,post000007,u00124,2025-03-03T18:39:47,1
c0000044,post000003,u00267,2025-03-03T18:42:11,0
c0000045,post000004,u00114,2025-03-03T19:37:39,1
c0000046,post000014,u00003,2025-03-03T20:56:10,1
c0000047,post000015,u00089,2025-03-03T21:06:31,0
c0000048,post000016,u00011,2025-03-03T21:44:12,0
c0000049,post000005,u00276,2025-03-03T22:07:14,0
c0000050,post000001,u00040,2025-03-03T22:09:40,1
c0000051,post000020,u00080,2025-03-03T22:23:08,3
c0000052,post000009,u00032,2025-03-03T22:32:00,0
c0000053,post000006,u00350,2025-03-03T22:47:38,1
c0000054,post000008,u00308,2025-03-03T23:05:28,1
c0000055,post000011,u00339,2025-03-03T23:20:11,1
c0000056,post000014,u00249,2025-03-03T23:31:01,1
c0000057,post000017,u00023,2025-03-04T00:19:25,0
c0000058,post000013,u00380,2025-03-04T00:20:24,2
c0000059,post000010,u00187,2025-03-04T00:38:36,2
c0000060,post000004,u00111,2025-03-04T00:49:14,1
c0000061,post000013,u00129,2025-03-04T01:56:49,1
c0000062,post000006,u00032,2025-03-04T01:57:52,3
c0000063,post000002,u00081,2025-03-04T02:28:42,1
c0000064,post000019,u00240,2025-03-04T03:27:43,0
c0000065,post000022,u00265,2025-03-04T05:52:09,1
c0000066,post000010,u00153,2025-03-04T07:12:25,3
c0000067,post000022,u00011,2025-03-04T07:43:04,0
c0000068,post000007,u00157,2025-03-04T07:58:14,2
c0000069,post000014,u00265,2025-03-04T08:39:32,1
c0000070,post000009,u00204,2025-03-04T08:53:15,0
c0000071,post000020,u00121,2025-03-04T08:56:22,2
c0000072,post000001,u00205,2025-03-04T10:28:51,1
c0000073,post000003,u00371,2025-03-04T10:43:11,2
c0000074,post000021,u00329,2025-03-04T10:56:34,2
c0000075,post000011,u00022,2025-03-04T11:13:34,0
