user_id,archetype,archetype_name
u00000,operational_browsers,Operational Browsers
u00001,low_engagement,Low-Engagement Users
u00002,low_engagement,Low-Engagement Users
u00003,reactive_consumers,Reactive Consumers
u00004,reactive_consumers,Reactive Consumers
u00005,low_engagement,Low-Engagement Users
u00006,high_communicators,High Communicators
u00007,low_engagement,Low-Engagement Users
u00008,low_engagement,Low-Engagement Users
u00009,operational_browsers,Operational Browsers
u00010,reactive_consumers,Reactive Consumers
u00011,reactive_consumers,Reactive Consumers
u00012,reactive_consumers,Reactive Consumers
u00013,operational_browsers,Operational Browsers
u00014,operational_browsers,Operational Browsers
u00015,operational_browsers,Operational Browsers
u00016,low_engagement,Low-Engagement Users
u00017,low_engagement,Low-Engagement Users
u00018,operational_browsers,Operational Browsers
u00019,low_engagement,Low-Engagement Users
u00020,reactive_consumers,Reactive Consumers
u00021,reactive_consumers,Reactive Consumers
u00022,operational_browsers,Operational Browsers
u00023,high_communicators,High Communicators
u00024,high_communicators,High Communicators
u00025,operational_browsers,Operational Browsers
u00026,operational_browsers,Operational Browsers
u00027,low_engagement,Low-Engagement Users
u00028,operational_browsers,Operational Browsers
u00029,operational_browsers,Operational Browsers
u00030,operational_browsers,Operational Browsers
u00031,reactive_consumers,Reactive Consumers
u00032,high_communicators,High Communicators
u00033,reactive_consumers,Reactive Consumers
u00034,operational_browsers,Operational Browsers
u00035,reactive_consumers,Reactive Consumers
u00036,reactive_consumers,Reactive Consumers
u00037,high_communicators,High Communicators
u00038,low_engagement,Low-Engagement Users
u00039,reactive_consumers,Reactive Consumers
u00040,reactive_consumers,Reactive Consumers
u00041,low_engagement,Low-Engagement Users
u00042,operational_browsers,Operational Browsers
u00043,low_engagement,Low-Engagement Users
u00044,operational_browsers,Operational Browsers
u00045,operational_browsers,Operational Browsers
u00046,high_communicators,High Communicators
u00047,operational_browsers,Operational Browsers
u00048,operational_browsers,Operational Browsers
u00049,low_engagement,Low-Engagement Users
u00050,reactive_consumers,Reactive Consumers
u00051,operational_browsers,Operational Browsers
u00052,high_communicators,High Communicators
u00053,reactive_consumers,Reactive Consumers
u00054,reactive_consumers,Reactive Consumers
u00055,reactive_consumers,Reactive Consumers
u00056,low_engagement,Low-Engagement Users
u00057,reactive_consumers,Reactive Consumers
u00058,low_engagement,Low-Engagement Users
u00059,operational_browsers,Operational Browsers
u00060,operational_browsers,Operational Browsers
u00061,operational_browsers,Operational Browsers
u00062,operational_browsers,Operational Browsers
u00063,reactive_consumers,Reactive Consumers
u00064,operational_browsers,Operational Browsers
u00065,reactive_consumers,Reactive Consumers
u00066,operational_browsers,Operational Browsers
u00067,high_communicators,High Communicators
u00068,low_engagement,Low-Engagement Users
u00069,reactive_consumers,Reactive Consumers
u00070,operational_browsers,Operational Browsers
u00071,reactive_consumers,Reactive Consumers
u00072,low_engagement,Low-Engagement Users
u00073,operational_browsers,Operational Browsers
u00074,reactive_consumers,Reactive Consumers
u00075,low_engagement,Low-Engagement Users
u00076,low_engagement,Low-Engagement Users
u00077,low_engagement,Low-Engagement Users
u00078,operational_browsers,Operational Browsers
u00079,reactive_consumers,Reactive Consumers
u00080,reactive_consumers,Reactive Consumers
u00081,low_engagement,Low-Engagement Users
u00082,operational_browsers,Operational Browsers
u00083,reactive_consumers,Reactive Consumers
u00084,low_engagement,Low-Engagement Users
u00085,operational_browsers,Operational Browsers
u00086,operational_browsers,Operational Browsers
u00087,reactive_consumers,Reactive Consumers
u00088,operational_browsers,Operational Browsers
u00089,reactive_consumers,Reactive Consumers
u00090,high_communicators,High Communicators
u00091,low_engagement,Low-Engagement Users
u00092,operational_browsers,Operational Browsers
u00093,operational_browsers,Operational Browsers
u00094,reactive_consumers,Reactive Consumers
u00095,low_engagement,Low-Engagement Users
u00096,high_communicators,High Communicators
u00097,reactive_consumers,Reactive Consumers
u00098,high_communicators,High Communicators
u00099,reactive_consumers,Reactive Consumers
u00100,low_engagement,Low-Engagement Users
u00101,operational_browsers,Operational Browsers
u00102,operational_browsers,Operational Browsers
u00103,operational_browsers,Operational Browsers
u00104,low_engagement,Low-Engagement Users
u00105,reactive_consumers,Reactive Consumers
u00106,operational_browsers,Operational Browsers
u00107,operational_browsers,Operational Browsers
u00108,reactive_consumers,Reactive Consumers
u00109,operational_browsers,Operational Browsers
u00110,low_engagement,Low-Engagement Users
u00111,low_engagement,Low-Engagement Users
u00112,reactive_consumers,Reactive Consumers
u00113,low_engagement,Low-Engagement Users
u00114,high_communicators,High Communicators
u00115,low_engagement,Low-Engagement Users
u00116,low_engagement,Low-Engagement Users
u00117,reactive_consumers,Reactive Consumers
u00118,operational_browsers,Operational Browsers
u00119,low_engagement,Low-Engagement Users
u00120,high_communicators,High Communicators
u00121,operational_browsers,Operational Browsers
u00122,low_engagement,Low-Engagement Users
u00123,operational_browsers,Operational Browsers
u00124,operational_browsers,Operational Browsers
u00125,reactive_consumers,Reactive Consumers
u00126,reactive_consumers,Reactive Consumers
u00127,reactive_consumers,Reactive Consumers
u00128,reactive_consumers,Reactive Consumers
u00129,reactive_consumers,Reactive Consumers
u00130,low_engagement,Low-Engagement Users
u00131,operational_browsers,Operational Browsers
u00132,reactive_consumers,Reactive Consumers
u00133,reactive_consumers,Reactive Consumers
u00134,low_engagement,Low-Engagement Users
u00135,operational_browsers,Operational Browsers
u00136,low_engagement,Low-Engagement Users
u00137,operational_browsers,Operational Browsers
u00138,operational_browsers,Operational Browsers
u00139,low_engagement,Low-Engagement Users
u00140,operational_browsers,Operational Browsers
u00141,operational_browsers,Operational Browsers
u00142,operational_browsers,Operational Browsers
u00143,low_engagement,Low-Engagement Users
u00144,operational_browsers,Operational Browsers
u00145,low_engagement,Low-Engagement Users
u00146,high_communicators,High Communicators
u00147,operational_browsers,Operational Browsers
u00148,operational_browsers,Operational Browsers
u00149,low_engagement,Low-Engagement Users
u00150,reactive_consumers,Reactive Consumers
u00151,low_engagement,Low-Engagement Users
u00152,operational_browsers,Operational Browsers
u00153,operational_browsers,Operational Browsers
u00154,operational_browsers,Operational Browsers
u00155,low_engagement,Low-Engagement Users
u00156,reactive_consumers,Reactive Consumers
u00157,reactive_consumers,Reactive Consumers
u00158,reactive_consumers,Reactive Consumers
u00159,high_communicators,High Communicators
u00160,reactive_consumers,Reactive Consumers
u00161,low_engagement,Low-Engagement Users
u00162,low_engagement,Low-Engagement Users
u00163,reactive_consumers,Reactive Consumers
u00164,operational_browsers,Operational Browsers
u00165,operational_browsers,Operational Browsers
u00166,operational_browsers,Operational Browsers
u00167,operational_browsers,Operational Browsers
u00168,reactive_consumers,Reactive Consumers
u00169,low_engagement,Low-Engagement Users
u00170,operational_browsers,Operational Browsers
u00171,operational_browsers,Operational Browsers
u00172,operational_browsers,Operational Browsers
u00173,reactive_consumers,Reactive Consumers
u00174,high_communicators,High Communicators
u00175,operational_browsers,Operational Browsers
u00176,low_engagement,Low-Engagement Users
u00177,low_engagement,Low-Engagement Users
u00178,operational_browsers,Operational Browsers
u00179,reactive_consumers,Reactive Consumers
u00180,low_engagement,Low-Engagement Users
u00181,low_engagement,Low-Engagement Users
