user_id,group_id,group_name
u00000,g_dep_4,Human Resources
u00000,g_div_0,Europe Retail
u00000,g_int_3,Interest group 4
u00000,g_int_0,Interest group 1
u00001,g_dep_0,Store Operations
u00001,g_div_0,Europe Retail
u00002,g_dep_2,Logistics
u00002,g_div_0,Europe Retail
u00003,g_dep_5,Management
u00003,g_div_0,Europe Retail
u00003,g_int_0,Interest group 1
u00003,g_int_2,Interest group 3
u00004,g_dep_1,Customer Service
u00004,g_div_0,Europe Retail
u00004,g_int_1,Interest group 2
u00004,g_int_2,Interest group 3
u00005,g_dep_0,Store Operations
u00005,g_div_0,Europe Retail
u00005,g_int_3,Interest group 4
u00005,g_int_4,Interest group 5
u00006,g_dep_2,Logistics
u00006,g_div_0,Europe Retail
u00006,g_int_3,Interest group 4
u00006,g_int_2,Interest group 3
u00007,g_dep_2,Logistics
u00007,g_div_0,Europe Retail
u00007,g_int_0,Interest group 1
u00007,g_int_1,Interest group 2
u00008,g_dep_3,Communications
u00008,g_div_0,Europe Retail
u00008,g_int_0,Interest group 1
u00009,g_dep_1,Customer Service
u00009,g_div_1,US Retail
u00009,g_int_2,Interest group 3
u00010,g_dep_0,Store Operations
u00010,g_div_0,Europe Retail
u00011,g_dep_0,Store Operations
u00011,g_div_0,Europe Retail
u00012,g_dep_0,Store Operations
u00012,g_div_0,Europe Retail
u00012,g_int_1,Interest group 2
u00013,g_dep_0,Store Operations
u00013,g_div_0,Europe Retail
u00013,g_int_5,Interest group 6
u00013,g_int_1,Interest group 2
u00014,g_dep_0,Store Operations
u00014,g_div_0,Europe Retail
u00014,g_int_1,Interest group 2
u00015,g_dep_1,Customer Service
u00015,g_div_0,Europe Retail
u00015,g_int_3,Interest group 4
u00015,g_int_2,Interest group 3
u00016,g_dep_2,Logistics
u00016,g_div_0,Europe Retail
u00017,g_dep_1,Customer Service
u00017,g_div_0,Europe Retail
u00018,g_dep_0,Store Operations
u00018,g_div_0,Europe Retail
u00018,g_int_0,Interest group 1
u00019,g_dep_0,Store Operations
u00019,g_div_0,Europe Retail
u00019,g_int_0,Interest group 1
u00020,g_dep_0,Store Operations
u00020,g_div_0,Europe Retail
u00020,g_int_3,Interest group 4
u00020,g_int_5,Interest group 6
u00021,g_dep_1,Customer Service
u00021,g_div_0,Europe Retail
u00021,g_int_1,Interest group 2
u00021,g_int_2,Interest group 3
u00022,g_dep_2,Logistics
u00022,g_div_0,Europe Retail
u00022,g_int_1,Interest group 2
u00022,g_int_4,Interest group 5
u00023,g_dep_0,Store Operations
u00023,g_div_0,Europe Retail
u00024,g_dep_0,Store Operations
u00024,g_div_0,Europe Retail
u00025,g_dep_1,Customer Service
u00025,g_div_1,US Retail
u00025,g_int_2,Interest group 3
u00026,g_dep_1,Customer Service
u00026,g_div_0,Europe Retail
u00026,g_int_3,Interest group 4
u00026,g_int_2,Interest group 3
u00027,g_dep_1,Customer Service
u00027,g_div_0,Europe Retail
u00027,g_int_2,Interest group 3
u00027,g_int_1,Interest group 2
u00028,g_dep_1,Customer Service
u00028,g_div_0,Europe Retail
u00028,g_int_2,Interest group 3
u00029,g_dep_2,Logistics
u00029,g_div_0,Europe Retail
u00029,g_int_1,Interest group 2
u00030,g_dep_0,Store Operations
u00030,g_div_0,Europe Retail
u00031,g_dep_0,Store Operations
u00031,g_div_0,Europe Retail
u00032,g_dep_1,Customer Service
u00032,g_div_0,Europe Retail
u00032,g_int_1,Interest group 2
u00032,g_int_2,Interest group 3
u00033,g_dep_3,Communications
u00033,g_div_1,US Retail
u00033,g_int_1,Interest group 2
u00034,g_dep_2,Logistics
u00034,g_div_0,Europe Retail
u00034,g_int_4,Interest group 5
u00034,g_int_5,Interest group 6
u00035,g_dep_1,Customer Service
u00035,g_div_0,Europe Retail
u00036,g_dep_1,Customer Service
u00036,g_div_0,Europe Retail
u00036,g_int_0,Interest group 1
u00037,g_dep_1,Customer Service
u00037,g_div_0,Europe Retail
u00038,g_dep_2,Logistics
u00038,g_div_0,Europe Retail
u00038,g_int_3,Interest group 4
u00038,g_int_0,Interest group 1
u00039,g_dep_0,Store Operations
u00039,g_div_0,Europe Retail
u00040,g_dep_0,Store Operations
u00040,g_div_0,Europe Retail
u00040,g_int_5,Interest group 6
u00040,g_int_0,Interest group 1
u00041,g_dep_2,Logistics
u00041,g_div_0,Europe Retail
u00041,g_int_0,Interest group 1
u00041,g_int_5,Interest group 6
u00042,g_dep_0,Store Operations
u00042,g_div_0,Europe Retail
u00042,g_int_1,Interest group 2
u00042,g_int_2,Interest group 3
u00043,g_dep_0,Store Operations
u00043,g_div_0,Europe Retail
u00044,g_dep_2,Logistics
u00044,g_div_0,Europe Retail
u00044,g_int_2,Interest group 3
u00044,g_int_3,Interest group 4
u00045,g_dep_0,Store Operations
u00045,g_div_0,Europe Retail
u00045,g_int_4,Interest group 5
u00045,g_int_3,Interest group 4
u00046,g_dep_4,Human Resources
u00046,g_div_0,Europe Retail
u00047,g_dep_0,Store Operations
u00047,g_div_0,Europe Retail
u00047,g_int_2,Interest group 3
u00048,g_dep_4,Human Resources
u00048,g_div_0,Europe Retail
u00048,g_int_0,Interest group 1
u00049,g_dep_0,Store Operations
u00049,g_div_1,US Retail
u00049,g_int_0,Interest group 1
u00050,g_dep_0,Store Operations
u00050,g_div_0,Europe Retail
u00051,g_dep_0,Store Operations
u00051,g_div_0,Europe Retail
u00051,g_int_5,Interest group 6
u00051,g_int_4,Interest group 5
u00052,g_dep_0,Store Operations
u00052,g_div_0,Europe Retail
u00052,g_int_0,Interest group 1
u00052,g_int_5,Interest group 6
u00053,g_dep_1,Customer Service
u00053,g_div_0,Europe Retail
u00053,g_int_0,Interest group 1
u00054,g_dep_5,Management
u00054,g_div_0,Europe Retail
u00054,g_int_4,Interest group 5
u00054,g_int_2,Interest group 3
u00055,g_dep_1,Customer Service
u00055,g_div_0,Europe Retail
u00055,g_int_5,Interest group 6
u00056,g_dep_0,Store Operations
u00056,g_div_0,Europe Retail
u00056,g_int_3,Interest group 4
u00056,g_int_0,Interest group 1
u00057,g_dep_0,Store Operations
u00057,g_div_0,Europe Retail
u00057,g_int_4,Interest group 5
u00058,g_dep_0,Store Operations
u00058,g_div_0,Europe Retail
u00059,g_dep_2,Logistics
u00059,g_div_0,Europe Retail
u00060,g_dep_1,Customer Service
u00060,g_div_0,Europe Retail
u00060,g_int_2,Interest group 3
u00061,g_dep_2,Logistics
u00061,g_div_0,Europe Retail
u00061,g_int_0,Interest group 1
u00062,g_dep_0,Store Operations
u00062,g_div_1,US Retail
u00062,g_int_3,Interest group 4
u00063,g_dep_4,Human Resources
u00063,g_div_1,US Retail
u00063,g_int_5,Interest group 6
u00063,g_int_0,Interest group 1
u00064,g_dep_5,Management
u00064,g_div_0,Europe Retail
u00064,g_int_0,Interest group 1
u00064,g_int_4,Interest group 5
u00065,g_dep_5,Management
u00065,g_div_1,US Retail
u00065,g_int_3,Interest group 4
u00066,g_dep_1,Customer Service
u00066,g_div_0,Europe Retail
u00067,g_dep_1,Customer Service
u00067,g_div_1,US Retail
u00068,g_dep_1,Customer Service
u00068,g_div_0,Europe Retail
u00068,g_int_4,Interest group 5
u00068,g_int_0,Interest group 1
u00069,g_dep_0,Store Operations
u00069,g_div_1,US Retail
u00069,g_int_4,Interest group 5
u00070,g_dep_1,Customer Service
u00070,g_div_0,Europe Retail
u00070,g_int_5,Interest group 6
u00071,g_dep_5,Management
u00071,g_div_0,Europe Retail
u00072,g_dep_3,Communications
u00072,g_div_0,Europe Retail
u00073,g_dep_0,Store Operations
u00073,g_div_0,Europe Retail
u00074,g_dep_1,Customer Service
u00074,g_div_0,Europe Retail
u00075,g_dep_0,Store Operations
u00075,g_div_1,US Retail
u00075,g_int_2,Interest group 3
u00075,g_int_5,Interest group 6
u00076,g_dep_0,Store Operations
u00076,g_div_0,Europe Retail
u00076,g_int_4,Interest group 5
u00077,g_dep_0,Store Operations
u00077,g_div_0,Europe Retail
u00077,g_int_5,Interest group 6
u00078,g_dep_1,Customer Service
u00078,g_div_0,Europe Retail
u00078,g_int_3,Interest group 4
u00078,g_int_2,Interest group 3
u00079,g_dep_2,Logistics
u00079,g_div_0,Europe Retail
u00079,g_int_0,Interest group 1
u00080,g_dep_1,Customer Service
u00080,g_div_0,Europe Retail
u00080,g_int_0,Interest group 1
u00081,g_dep_1,Customer Service
u00081,g_div_0,Europe Retail
u00081,g_int_5,Interest group 6
u00081,g_int_4,Interest group 5
u00082,g_dep_0,Store Operations
u00082,g_div_0,Europe Retail
u00082,g_int_3,Interest group 4
u00083,g_dep_0,Store Operations
u00083,g_div_1,US Retail
u00083,g_int_2,Interest group 3
u00084,g_dep_2,Logistics
u00084,g_div_0,Europe Retail
u00085,g_dep_1,Customer Service
u00085,g_div_0,Europe Retail
u00086,g_dep_2,Logistics
u00086,g_div_0,Europe Retail
u00087,g_dep_0,Store Operations
u00087,g_div_0,Europe Retail
u00088,g_dep_0,Store Operations
u00088,g_div_0,Europe Retail
u00088,g_int_2,Interest group 3
u00088,g_int_1,Interest group 2
u00089,g_dep_3,Communications
u00089,g_div_0,Europe Retail
u00089,g_int_4,Interest group 5
u00090,g_dep_5,Management
u00090,g_div_0,Europe Retail
u00090,g_int_0,Interest group 1
u00090,g_int_1,Interest group 2
u00091,g_dep_0,Store Operations
u00091,g_div_0,Europe Retail
u00091,g_int_3,Interest group 4
u00091,g_int_1,Interest group 2
u00092,g_dep_1,Customer Service
u00092,g_div_0,Europe Retail
u00092,g_int_5,Interest group 6
u00093,g_dep_0,Store Operations
u00093,g_div_1,US Retail
u00093,g_int_1,Interest group 2
u00093,g_int_4,Interest group 5
u00094,g_dep_4,Human Resources
u00094,g_div_0,Europe Retail
u00094,g_int_3,Interest group 4
u00094,g_int_4,Interest group 5
u00095,g_dep_1,Customer Service
u00095,g_div_0,Europe Retail
u00095,g_int_5,Interest group 6
u00096,g_dep_0,Store Operations
u00096,g_div_0,Europe Retail
u00097,g_dep_5,Management
u00097,g_div_0,Europe Retail
u00098,g_dep_1,Customer Service
u00098,g_div_1,US Retail
u00099,g_dep_1,Customer Service
u00099,g_div_1,US Retail
u00099,g_int_2,Interest group 3
u00099,g_int_3,Interest group 4
u00100,g_dep_4,Human Resources
u00100,g_div_0,Europe Retail
u00100,g_int_1,Interest group 2
u00100,g_int_4,Interest group 5
u00101,g_dep_0,Store Operations
u00101,g_div_0,Europe Retail
u00101,g_int_2,Interest group 3
u00101,g_int_3,Interest group 4
u00102,g_dep_0,Store Operations
u00102,g_div_0,Europe Retail
u00102,g_int_3,Interest group 4
u00103,g_dep_0,Store Operations
u00103,g_div_0,Europe Retail
u00104,g_dep_0,Store Operations
u00104,g_div_1,US Retail
u00104,g_int_1,Interest group 2
u00104,g_int_5,Interest group 6
u00105,g_dep_1,Customer Service
u00105,g_div_0,Europe Retail
u00105,g_int_4,Interest group 5
u00105,g_int_3,Interest group 4
u00106,g_dep_0,Store Operations
u00106,g_div_0,Europe Retail
u00106,g_int_0,Interest group 1
u00107,g_dep_0,Store Operations
u00107,g_div_0,Europe Retail
u00107,g_int_4,Interest group 5
u00108,g_dep_0,Store Operations
u00108,g_div_1,US Retail
u00108,g_int_3,Interest group 4
u00109,g_dep_1,Customer Service
u00109,g_div_0,Europe Retail
u00109,g_int_2,Interest group 3
u00109,g_int_1,Interest group 2
u00110,g_dep_0,Store Operations
u00110,g_div_0,Europe Retail
u00111,g_dep_3,Communications
u00111,g_div_1,US Retail
u00111,g_int_3,Interest group 4
u00112,g_dep_0,Store Operations
u00112,g_div_0,Europe Retail
u00112,g_int_5,Interest group 6
u00113,g_dep_1,Customer Service
u00113,g_div_0,Europe Retail
u00113,g_int_4,Interest group 5
u00113,g_int_3,Interest group 4
u00114,g_dep_1,Customer Service
