user_id,jurisdiction,consent
u00000,EU,1
u00001,EU,1
u00002,EU,1
u00003,EU,1
u00004,EU,1
u00005,EU,1
u00006,EU,1
u00007,EU,1
u00008,EU,1
u00009,US,1
u00010,EU,1
u00011,EU,1
u00012,EU,1
u00013,EU,1
u00014,EU,1
u00015,EU,1
u00016,EU,1
u00017,EU,1
u00018,EU,1
u00019,EU,1
u00020,EU,1
u00021,EU,1
u00022,EU,1
u00023,EU,1
u00024,EU,1
u00025,US,1
u00026,EU,1
u00027,EU,1
u00028,EU,1
u00029,EU,1
u00030,EU,1
u00031,EU,1
u00032,EU,1
u00033,US,1
u00034,EU,1
u00035,EU,1
u00036,EU,1
u00037,EU,1
u00038,EU,1
u00039,EU,1
u00040,EU,1
u00041,EU,1
u00042,EU,1
u00043,EU,1
u00044,EU,1
u00045,EU,1
u00046,EU,1
u00047,EU,1
u00048,EU,1
u00049,US,1
u00050,EU,1
u00051,EU,1
u00052,EU,1
u00053,EU,1
u00054,EU,1
u00055,EU,1
u00056,EU,1
u00057,EU,1
u00058,EU,1
u00059,EU,1
u00060,EU,1
u00061,EU,1
u00062,US,1
u00063,US,0
u00064,EU,1
u00065,US,1
u00066,EU,1
u00067,US,1
u00068,EU,1
u00069,US,1
u00070,EU,1
u00071,EU,1
u00072,EU,1
u00073,EU,1
u00074,EU,1
u00075,US,1
u00076,EU,1
u00077,EU,1
u00078,EU,1
u00079,EU,1
u00080,EU,1
u00081,EU,1
u00082,EU,1
u00083,US,1
u00084,EU,1
u00085,EU,1
u00086,EU,1
u00087,EU,1
u00088,EU,1
u00089,EU,1
u00090,EU,1
u00091,EU,1
u00092,EU,1
u00093,US,0
u00094,EU,1
u00095,EU,1
u00096,EU,1
u00097,EU,1
u00098,US,1
u00099,US,1
u00100,EU,1
u00101,EU,1
u00102,EU,1
u00103,EU,1
u00104,US,0
u00105,EU,1
u00106,EU,1
u00107,EU,1
u00108,US,1
u00109,EU,1
u00110,EU,1
u00111,US,1
u00112,EU,1
u00113,EU,1
u00114,EU,1
u00115,EU,1
u00116,EU,1
u00117,EU,1
u00118,EU,1
u00119,EU,1
u00120,EU,1
u00121,EU,1
u00122,EU,1
u00123,EU,1
u00124,EU,1
u00125,EU,1
u00126,EU,1
u00127,EU,1
u00128,US,1
u00129,EU,1
u00130,EU,1
u00131,EU,1
u00132,EU,1
u00133,US,1
u00134,EU,1
u00135,US,1
u00136,EU,1
u00137,EU,1
u00138,EU,1
u00139,EU,1
u00140,EU,1
u00141,EU,1
u00142,EU,1
u00143,EU,1
u00144,EU,1
u00145,EU,1
u00146,EU,1
u00147,EU,1
u00148,EU,1
u00149,EU,1
u00150,EU,1
u00151,EU,1
u00152,EU,1
u00153,EU,1
u00154,EU,1
u00155,US,1
u00156,EU,1
u00157,EU,1
u00158,EU,1
u00159,EU,1
u00160,EU,1
u00161,US,1
u00162,US,1
u00163,US,0
u00164,EU,1
u00165,EU,1
u00166,EU,1
u00167,EU,1
u00168,EU,1
u00169,US,1
u00170,US,1
u00171,EU,1
u00172,EU,1
u00173,US,0
u00174,US,1
u00175,US,1
u00176,EU,1
u00177,EU,1
u00178,EU,1
u00179,EU,1
u00180,EU,1
u00181,EU,1
u00182,EU,1
u00183,EU,1
u00184,EU,1
u00185,US,1
u00186,EU,1
u00187,EU,1
u00188,EU,1
u00189,EU,1
u00190,EU,1
u00191,EU,1
u00192,EU,1
u00193,EU,1
u00194,EU,1
u00195,EU,1
u00196,EU,1
u00197,EU,1
u00198,EU,1
u00199,EU,1
u00200,EU,1
u00201,EU,1
u00202,EU,1
u00203,EU,1
u00204,EU,1
u00205,EU,1
u00206,EU,1
u00207,EU,1
u00208,EU,1
u00209,EU,1
u00210,EU,1
u00211,EU,1
u00212,EU,1
u00213,EU,1
u00214,EU,1
u00215,EU,1
u00216,EU,1
u00217,EU,1
u00218,US,1
u00219,EU,1
u00220,EU,1
u00221,US,0
u00222,EU,1
u00223,EU,1
u00224,EU,1
u00225,EU,1
u00226,US,1
u00227,EU,1
u00228,EU,1
u00229,EU,1
u00230,EU,1
u00231,EU,1
u00232,EU,1
u00233,EU,1
u00234,EU,1
u00235,EU,1
u00236,US,1
u00237,US,1
u00238,EU,1
u00239,EU,1
u00240,EU,1
u00241,US,0
u00242,EU,1
u00243,EU,1
u00244,EU,1
u00245,US,1
u00246,US,1
u00247,EU,1
u00248,EU,1
u00249,EU,1
u00250,EU,1
u00251,US,0
u00252,EU,1
u00253,US,1
u00254,EU,1
u00255,EU,1
u00256,EU,1
u00257,EU,1
u00258,EU,1
u00259,EU,1
u00260,EU,1
u00261,EU,1
u00262,EU,1
u00263,EU,1
u00264,EU,1
u00265,EU,1
u00266,EU,1
u00267,EU,1
u00268,US,1
u00269,EU,1
u00270,EU,1
u00271,EU,1
u00272,EU,1
u00273,EU,1
u00274,EU,1
u00275,EU,1
u00276,EU,1
u00277,EU,1
u00278,EU,1
u00279,US,0
u00280,EU,1
u00281,EU,1
u00282,EU,1
u00283,EU,1
u00284,EU,1
u00285,EU,1
u00286,EU,1
u00287,US,0
u00288,EU,1
u00289,EU,1
u00290,EU,1
u00291,US,1
u00292,EU,1
u00293,US,1
u00294,EU,1
u00295,EU,1
u00296,EU,1
u00297,EU,1
u00298,EU,1
u00299,US,1
u00300,EU,1
u00301,EU,1
u00302,EU,1
u00303,EU,1
u00304,EU,1
u00305,EU,1
u00306,EU,1
u00307,EU,1
u00308,EU,1
u00309,US,0
u00310,EU,1
u00311,EU,1
u00312,US,1
u00313,EU,1
u00314,EU,1
u00315,EU,1
u00316,EU,1
u00317,EU,1
u00318,US,1
u00319,EU,1
u00320,EU,1
u00321,EU,1
u00322,US,0
u00323,EU,1
u00324,EU,1
u00325,EU,1
u00326,EU,1
u00327,EU,1
u00328,US,1
u00329,US,0
u00330,US,1
u00331,EU,1
u00332,EU,1
u00333,EU,1
u00334,EU,1
u00335,EU,1
u00336,EU,1
u00337,EU,1
u00338,EU,1
u00339,US,1
u00340,EU,1
u00341,EU,1
u00342,US,1
u00343,EU,1
u00344,EU,1
u00345,EU,1
u00346,EU,1
u00347,US,1
u00348,US,1
u00349,EU,1
u00350,EU,1
u00351,EU,1
u00352,US,1
u00353,EU,1
u00354,EU,1
u00355,EU,1
u00356,US,1
u00357,EU,1
u00358,EU,1
u00359,EU,1
u00360,US,1
u00361,EU,1
u00362,EU,1
u00363,EU,1
u00364,EU,1
u00365,EU,1
u00366,EU,1
u00367,EU,1
u00368,EU,1
u00369,EU,1
u00370,EU,1
u00371,US,1
u00372,EU,1
u00373,EU,1
u00374,EU,1
u00375,EU,1
u00376,EU,1
u00377,EU,1
u00378,EU,1
u00379,EU,1
u00380,EU,1
u00381,EU,1
u00382,EU,1
u00383,EU,1
u00384,EU,1
u00385,EU,1
u00386,US,1
u00387,EU,1
u00388,EU,1
u00389,EU,1
u00390,EU,1
u00391,EU,1
u00392,US,1
u00393,EU,1
u00394,EU,1
u00395,US,1
u00396,EU,1
u00397,EU,1
u00398,US,1
u00399,EU,1
