post_id,author_id,stream_id,created_at,has_video,mention_count,comment_count,like_count,comment_like_count
post000001,u00185,s010,2025-03-03T00:00:23,0,0,11,78,10
post000002,u00259,s009,2025-03-03T00:13:41,0,0,8,68,5
post000003,u00052,s008,2025-03-03T03:39:00,0,0,11,61,9
post000004,u00006,s004,2025-03-03T07:06:17,0,0,5,56,6
post000005,u00118,s004,2025-03-03T07:57:11,0,0,4,36,2
post000006,u00063,s001,2025-03-03T08:06:52,0,0,5,63,7
post000007,u00281,s007,2025-03-03T08:15:34,0,1,8,51,12
post000008,u00383,s005,2025-03-03T09:39:16,0,1,7,37,6
post000009,u00251,s010,2025-03-03T09:56:01,0,1,4,31,3
post000010,u00034,s004,2025-03-03T10:41:25,0,1,8,37,14
post000011,u00366,s004,2025-03-03T11:13:31,0,0,6,31,5
post000012,u00205,s005,2025-03-03T12:02:38,1,0,1,40,1
post000013,u00329,s004,2025-03-03T12:31:23,0,1,4,24,5
post000014,u00117,s007,2025-03-03T15:40:09,1,1,4,27,4
post000015,u00225,s007,2025-03-03T16:09:44,0,0,2,26,0
post000016,u00098,s005,2025-03-03T16:17:09,0,1,6,19,5
post000017,u00235,s010,2025-03-03T20:16:53,0,0,1,19,0
post000018,u00096,s010,2025-03-03T20:59:12,0,1,3,17,3
post000019,u00364,s005,2025-03-03T21:01:38,0,0,2,20,1
post000020,u00120,s004,2025-03-03T22:06:01,0,0,3,25,6
post000021,u00046,s000,2025-03-03T22:27:46,0,0,3,19,2
post000022,u00225,s007,2025-03-04T00:03:42,0,0,3,22,1
post000023,u00274,s011,2025-03-04T00:17:05,1,0,2,21,6
post000024,u00256,s003,2025-03-04T00:29:36,0,1,2,22,0
post000025,u00114,s004,2025-03-04T01:17:54,0,0,2,23,2
post000026,u00256,s000,2025-03-04T02:44:32,0,0,0,11,0
post000027,u00302,s010,2025-03-04T08:15:27,0,0,2,13,1
post000028,u00123,s011,2025-03-04T08:22:07,1,2,0,16,0
post000029,u00093,s004,2025-03-04T09:45:24,1,0,1,12,1
post000030,u00185,s004,2025-03-04T09:54:17,0,1,2,14,2
post000031,u00274,s005,2025-03-04T10:59:57,0,1,1,13,1
post000032,u00006,s006,2025-03-04T11:04:46,1,0,2,12,0
post000033,u00196,s009,2025-03-04T11:16:14,0,0,5,20,5
post000034,u00355,s007,2025-03-04T12:24:21,0,0,2,7,5
post000035,u00052,s008,2025-03-04T12:32:39,0,2,0,14,0
post000036,u00011,s004,2025-03-04T12:37:04,0,0,1,13,2
post000037,u00192,s009,2025-03-04T12:46:08,0,0,1,21,0
post000038,u00187,s010,2025-03-04T13:21:33,0,0,3,12,2
post000039,u00096,s005,2025-03-04T14:40:07,0,0,1,9,2
post000040,u00187,s011,2025-03-04T14:56:54,0,0,4,18,4
post000041,u00205,s004,2025-03-04T16:01:38,0,1,2,16,4
post000042,u00142,s011,2025-03-04T16:23:23,0,0,1,9,0
post000043,u00185,s010,2025-03-04T16:53:11,0,1,2,14,1
post000044,u00302,s010,2025-03-04T17:50:23,0,2,2,14,3
post000045,u00037,s011,2025-03-04T18:01:31,0,0,5,22,1
post000046,u00205,s007,2025-03-04T20:08:32,1,0,2,13,1
post000047,u00339,s009,2025-03-05T01:13:16,0,1,3,4,1
post000048,u00265,s008,2025-03-05T03:27:05,0,0,0,13,0
post000049,u00235,s006,2025-03-05T03:51:37,0,1,4,11,5
post000050,u00262,s007,2025-03-05T04:16:52,0,0,3,9,3
post000051,u00023,s009,2025-03-05T04:19:52,0,0,2,14,3
post000052,u00037,s005,2025-03-05T06:17:35,0,0,2,10,1
post000053,u00052,s008,2025-03-05T07:16:53,0,0,2,11,1
post000054,u00276,s006,2025-03-05T07:29:17,0,0,0,8,0
post000055,u00308,s006,2025-03-05T08:10:34,0,1,4,14,1
post000056,u00085,s011,2025-03-05T08:49:23,0,0,0,10,0
post000057,u00065,s002,2025-03-05T09:44:55,0,0,0,8,0
post000058,u00339,s009,2025-03-05T10:21:31,0,0,3,13,1
post000059,u00125,s006,2025-03-05T11:10:14,0,0,1,16,0
post000060,u00185,s004,2025-03-05T11:43:19,0,0,0,12,0
post000061,u00250,s011,2025-03-05T11:48:42,1,0,1,7,0
post000062,u00006,s011,2025-03-05T11:59:40,0,1,3,8,1
post000063,u00173,s007,2025-03-05T12:07:57,0,1,4,12,4
post000064,u00282,s006,2025-03-05T12:33:17,0,1,1,12,1
post000065,u00326,s008,2025-03-05T12:56:23,1,2,0,10,0
post000066,u00120,s010,2025-03-05T12:58:16,0,0,0,15,0
post000067,u00032,s009,2025-03-05T13:34:29,0,3,1,13,1
post000068,u00089,s004,2025-03-05T13:50:59,0,1,4,14,4
post000069,u00147,s010,2025-03-05T14:25:26,1,1,0,17,0
post000070,u00190,s009,2025-03-05T15:13:21,1,0,0,11,0
post000071,u00230,s011,2025-03-05T16:04:05,0,0,1,16,0
post000072,u00196,s009,2025-03-05T16:19:12,0,0,0,8,0
post000073,u00192,s005,2025-03-05T21:37:36,0,1,1,10,1
post000074,u00337,s011,2025-03-05T21:43:00,0,1,2,17,1
post000075,u00235,s010,2025-03-05T21:55:24,0,0,1,15,0
post000076,u00036,s011,2025-03-05T21:57:25,1,0,2,13,0
