reaction_id,post_id,user_id,created_at,reaction_type
r0000001,post000001,u00037,2025-03-03T00:17:45,like
r0000002,post000002,u00112,2025-03-03T00:28:41,like
r0000003,post000002,u00033,2025-03-03T00:28:42,like
r0000004,post000002,u00050,2025-03-03T00:33:44,like
r0000005,post000002,u00006,2025-03-03T00:35:48,like
r0000006,post000002,u00308,2025-03-03T00:54:54,like
r0000007,post000002,u00370,2025-03-03T01:25:42,like
r0000008,post000001,u00052,2025-03-03T01:26:32,support
r0000009,post000001,u00117,2025-03-03T01:31:18,like
r0000010,post000001,u00046,2025-03-03T01:37:36,like
r0000011,post000001,u00105,2025-03-03T01:44:42,like
r0000012,post000001,u00105,2025-03-03T01:45:55,like
r0000013,post000001,u00397,2025-03-03T01:54:44,insightful
r0000014,post000001,u00157,2025-03-03T02:00:18,like
r0000015,post000001,u00098,2025-03-03T02:03:43,insightful
r0000016,post000001,u00090,2025-03-03T02:05:34,insightful
r0000017,post000001,u00205,2025-03-03T02:10:52,celebrate
r0000018,post000002,u00023,2025-03-03T02:11:15,support
r0000019,post000001,u00020,2025-03-03T02:23:02,like
r0000020,post000001,u00034,2025-03-03T02:33:45,like
r0000021,post000002,u00197,2025-03-03T02:35:28,support
r0000022,post000001,u00098,2025-03-03T02:36:34,like
r0000023,post000002,u00212,2025-03-03T02:39:58,like
r0000024,post000001,u00367,2025-03-03T02:48:04,like
r0000025,post000001,u00175,2025-03-03T02:57:32,like
r0000026,post000002,u00337,2025-03-03T03:09:53,like
r0000027,post000002,u00249,2025-03-03T03:16:22,like
r0000028,post000002,u00159,2025-03-03T03:20:07,like
r0000029,post000001,u00080,2025-03-03T03:23:23,like
r0000030,post000002,u00067,2025-03-03T03:29:35,like
r0000031,post000001,u00286,2025-03-03T03:34:35,like
r0000032,post000001,u00129,2025-03-03T03:34:36,like
r0000033,post000002,u00174,2025-03-03T03:34:48,celebrate
r0000034,post000003,u00211,2025-03-03T03:45:24,like
r0000035,post000003,u00108,2025-03-03T03:48:28,like
r0000036,post000003,u00290,2025-03-03T03:50:13,like
r0000037,post000002,u00308,2025-03-03T03:56:00,like
r0000038,post000001,u00157,2025-03-03T03:58:31,like
r0000039,post000001,u00249,2025-03-03T03:58:51,like
r0000040,post000001,u00290,2025-03-03T04:01:33,like
r0000041,post000001,u00003,2025-03-03T04:12:47,insightful
r0000042,post000001,u00064,2025-03-03T04:24:07,like
r0000043,post000001,u00192,2025-03-03T04:26:52,like
r0000044,post000002,u00311,2025-03-03T04:31:25,celebrate
r0000045,post000003,u00112,2025-03-03T04:43:00,like
r0000046,post000003,u00123,2025-03-03T04:50:22,like
r0000047,post000001,u00189,2025-03-03T04:52:19,like
r0000048,post000002,u00344,2025-03-03T05:02:03,like
r0000049,post000003,u00329,2025-03-03T05:23:33,like
r0000050,post000001,u00364,2025-03-03T05:31:09,like
r0000051,post000001,u00244,2025-03-03T05:31:37,like
r0000052,post000002,u00046,2025-03-03T05:42:36,like
r0000053,post000003,u00011,2025-03-03T05:42:40,like
r0000054,post000003,u00080,2025-03-03T05:46:14,like
r0000055,post000002,u00311,2025-03-03T05:49:24,like
r0000056,post000003,u00221,2025-03-03T06:06:01,like
r0000057,post000003,u00105,2025-03-03T06:10:32,like
r0000058,post000003,u00335,2025-03-03T06:21:09,like
r0000059,post000002,u00185,2025-03-03T06:29:23,like
r0000060,post000003,u00112,2025-03-03T06:31:08,like
r0000061,post000002,u00006,2025-03-03T06:41:01,insightful
r0000062,post000001,u00126,2025-03-03T07:06:08,like
r0000063,post000002,u00003,2025-03-03T07:16:13,insightful
r0000064,post000004,u00265,2025-03-03T07:16:14,like
r0000065,post000001,u00046,2025-03-03T07:25:44,celebrate
r0000066,post000001,u00201,2025-03-03T07:31:03,celebrate
r0000067,post000003,u00197,2025-03-03T07:32:26,like
r0000068,post000001,u00127,2025-03-03T07:32:58,support
r0000069,post000003,u00037,2025-03-03T07:34:18,celebrate
r0000070,post000003,u00318,2025-03-03T07:37:01,like
r0000071,post000003,u00355,2025-03-03T07:39:48,like
r0000072,post000001,u00306,2025-03-03T07:40:51,like
r0000073,post000002,u00258,2025-03-03T07:45:12,like
r0000074,post000001,u00158,2025-03-03T07:45:26,insightful
r0000075,post000002,u00006,2025-03-03T07:46:43,like
r0000076,post000001,u00212,2025-03-03T07:47:48,insightful
r0000077,post000002,u00120,2025-03-03T07:47:50,like
r0000078,post000003,u00197,2025-03-03T07:48:58,like
r0000079,post000003,u00192,2025-03-03T07:52:31,like
r0000080,post000001,u00345,2025-03-03T07:57:15,like
r0000081,post000001,u00152,2025-03-03T08:01:11,like
r0000082,post000001,u00020,2025-03-03T08:05:08,like
r0000083,post000001,u00089,2025-03-03T08:06:20,insightful
r0000084,post000004,u00262,2025-03-03T08:11:21,like
r0000085,post000007,u00225,2025-03-03T08:15:50,support
r0000086,post000006,u00018,2025-03-03T08:17:20,like
r0000087,post000001,u00137,2025-03-03T08:18:31,like
r0000088,post000003,u00330,2025-03-03T08:18:40,like
r0000089,post000006,u00089,2025-03-03T08:20:55,like
r0000090,post000005,u00335,2025-03-03T08:22:16,insightful
r0000091,post000005,u00067,2025-03-03T08:22:47,like
r0000092,post000004,u00186,2025-03-03T08:23:15,like
r0000093,post000006,u00255,2025-03-03T08:23:22,insightful
r0000094,post000003,u00107,2025-03-03T08:24:41,like
r0000095,post000003,u00259,2025-03-03T08:26:18,like
r0000096,post000005,u00205,2025-03-03T08:28:01,like
r0000097,post000006,u00399,2025-03-03T08:29:26,celebrate
r0000098,post000002,u00112,2025-03-03T08:30:53,celebrate
r0000099,post000007,u00160,2025-03-03T08:33:10,insightful
r0000100,post000007,u00011,2025-03-03T08:34:59,like
r0000101,post000001,u00174,2025-03-03T08:37:28,like
r0000102,post000003,u00250,2025-03-03T08:45:16,like
r0000103,post000007,u00192,2025-03-03T08:47:00,like
r0000104,post000002,u00129,2025-03-03T08:48:00,support
r0000105,post000007,u00249,2025-03-03T08:50:50,like
r0000106,post000003,u00129,2025-03-03T08:53:43,like
r0000107,post000001,u00350,2025-03-03T08:54:14,like
r0000108,post000002,u00197,2025-03-03T08:57:38,like
r0000109,post000006,u00399,2025-03-03T08:58:12,support
r0000110,post000001,u00221,2025-03-03T08:58:24,insightful
r0000111,post000006,u00213,2025-03-03T08:59:00,like
r0000112,post000005,u00061,2025-03-03T08:59:01,like
r0000113,post000007,u00221,2025-03-03T09:00:03,like
r0000114,post000007,u00039,2025-03-03T09:01:15,like
r0000115,post000003,u00324,2025-03-03T09:02:14,like
r0000116,post000007,u00223,2025-03-03T09:02:17,like
r0000117,post000003,u00276,2025-03-03T09:04:03,like
r0000118,post000005,u00175,2025-03-03T09:04:34,like
r0000119,post000007,u00339,2025-03-03T09:04:57,like
r0000120,post000004,u00190,2025-03-03T09:06:23,like
r0000121,post000003,u00199,2025-03-03T09:07:25,like
r0000122,post000004,u00160,2025-03-03T09:08:32,like
r0000123,post000007,u00329,2025-03-03T09:10:49,celebrate
r0000124,post000003,u00006,2025-03-03T09:12:15,support
r0000125,post000005,u00339,2025-03-03T09:12:31,insightful
r0000126,post000002,u00380,2025-03-03T09:16:43,like
r0000127,post000006,u00195,2025-03-03T09:22:41,support
r0000128,post000004,u00155,2025-03-03T09:23:48,like
r0000129,post000004,u00188,2025-03-03T09:24:31,like
