user_id,stream_id,can_access
u00000,s004,0
u00000,s005,0
u00000,s006,0
u00000,s007,0
u00000,s008,1
u00000,s009,1
u00000,s010,0
u00000,s011,0
u00001,s004,1
u00001,s005,1
u00001,s006,0
u00001,s007,0
u00001,s008,0
u00001,s009,1
u00001,s010,1
u00001,s011,0
u00002,s004,0
u00002,s005,0
u00002,s006,1
u00002,s007,1
u00002,s008,0
u00002,s009,0
u00002,s010,0
u00002,s011,0
u00003,s004,0
u00003,s005,0
u00003,s006,0
u00003,s007,0
u00003,s008,0
u00003,s009,1
u00003,s010,0
u00003,s011,1
u00004,s004,1
u00004,s005,1
u00004,s006,1
u00004,s007,1
u00004,s008,1
u00004,s009,0
u00004,s010,0
u00004,s011,1
u00005,s004,1
u00005,s005,1
u00005,s006,0
u00005,s007,1
u00005,s008,0
u00005,s009,1
u00005,s010,1
u00005,s011,0
u00006,s004,1
u00006,s005,0
u00006,s006,1
u00006,s007,0
u00006,s008,0
u00006,s009,0
u00006,s010,0
u00006,s011,1
u00007,s004,1
u00007,s005,0
u00007,s006,1
u00007,s007,0
u00007,s008,0
u00007,s009,0
u00007,s010,0
u00007,s011,1
u00008,s004,0
u00008,s005,0
u00008,s006,0
u00008,s007,1
u00008,s008,1
u00008,s009,0
u00008,s010,0
u00008,s011,0
u00009,s004,1
u00009,s005,1
u00009,s006,0
u00009,s007,0
u00009,s008,0
u00009,s009,1
u00009,s010,0
u00009,s011,1
u00010,s004,1
u00010,s005,0
u00010,s006,0
u00010,s007,0
u00010,s008,0
u00010,s009,1
u00010,s010,1
u00010,s011,0
u00011,s004,1
u00011,s005,1
u00011,s006,1
u00011,s007,1
u00011,s008,0
u00011,s009,0
u00011,s010,1
u00011,s011,0
u00012,s004,1
u00012,s005,0
u00012,s006,0
u00012,s007,1
u00012,s008,0
u00012,s009,0
u00012,s010,1
u00012,s011,1
u00013,s004,1
u00013,s005,0
u00013,s006,1
u00013,s007,0
u00013,s008,0
u00013,s009,0
u00013,s010,1
u00013,s011,0
u00014,s004,1
u00014,s005,1
u00014,s006,0
u00014,s007,1
u00014,s008,0
u00014,s009,1
u00014,s010,1
u00014,s011,0
u00015,s004,0
u00015,s005,1
u00015,s006,1
u00015,s007,0
u00015,s008,0
u00015,s009,1
u00015,s010,0
u00015,s011,1
u00016,s004,0
u00016,s005,1
u00016,s006,1
u00016,s007,0
u00016,s008,0
u00016,s009,0
u00016,s010,0
u00016,s011,0
u00017,s004,1
u00017,s005,1
u00017,s006,1
u00017,s007,0
u00017,s008,1
u00017,s009,0
u00017,s010,0
u00017,s011,1
u00018,s004,1
u00018,s005,0
u00018,s006,0
u00018,s007,0
u00018,s008,0
u00018,s009,0
u00018,s010,1
u00018,s011,0
u00019,s004,1
u00019,s005,0
u00019,s006,1
u00019,s007,0
u00019,s008,0
u00019,s009,1
u00019,s010,1
u00019,s011,0
u00020,s004,1
u00020,s005,1
u00020,s006,0
u00020,s007,1
u00020,s008,0
u00020,s009,0
u00020,s010,1
u00020,s011,0
u00021,s004,0
u00021,s005,1
u00021,s006,1
u00021,s007,0
u00021,s008,0
u00021,s009,0
u00021,s010,1
u00021,s011,1
u00022,s004,0
u00022,s005,0
u00022,s006,1
u00022,s007,0
u00022,s008,1
u00022,s009,0
u00022,s010,1
u00022,s011,0
u00023,s004,1
u00023,s005,0
u00023,s006,1
u00023,s007,0
u00023,s008,0
u00023,s009,1
u00023,s010,1
u00023,s011,0
u00024,s004,1
u00024,s005,1
u00024,s006,1
u00024,s007,0
u00024,s008,0
u00024,s009,0
u00024,s010,1
u00024,s011,0
u00025,s004,0
u00025,s005,1
u00025,s006,0
u00025,s007,0
u00025,s008,0
u00025,s009,0
u00025,s010,0
u00025,s011,1
u00026,s004,0
u00026,s005,1
u00026,s006,1
u00026,s007,0
u00026,s008,0
u00026,s009,0
u00026,s010,0
u00026,s011,1
u00027,s004,1
u00027,s005,1
u00027,s006,0
u00027,s007,1
u00027,s008,1
u00027,s009,0
u00027,s010,0
u00027,s011,1
u00028,s004,0
u00028,s005,1
u00028,s006,0
u00028,s007,0
u00028,s008,0
u00028,s009,1
u00028,s010,0
u00028,s011,1
u00029,s004,1
u00029,s005,0
u00029,s006,1
u00029,s007,0
u00029,s008,0
u00029,s009,1
u00029,s010,0
u00029,s011,0
u00030,s004,1
u00030,s005,1
u00030,s006,0
u00030,s007,0
u00030,s008,0
u00030,s009,0
u00030,s010,1
u00030,s011,1
u00031,s004,1
u00031,s005,0
u00031,s006,1
u00031,s007,0
u00031,s008,0
u00031,s009,0
u00031,s010,1
u00031,s011,0
u00032,s004,0
u00032,s005,1
u00032,s006,1
u00032,s007,1
u00032,s008,0
u00032,s009,1
u00032,s010,0
u00032,s011,1
u00033,s004,0
u00033,s005,0
u00033,s006,0
u00033,s007,1
u00033,s008,1
u00033,s009,1
u00033,s010,0
u00033,s011,1
u00034,s004,1
u00034,s005,0
u00034,s006,1
u00034,s007,0
u00034,s008,0
u00034,s009,0
u00034,s010,0
u00034,s011,0
u00035,s004,0
u00035,s005,1
u00035,s006,1
u00035,s007,1
u00035,s008,0
u00035,s009,0
u00035,s010,1
u00035,s011,1
u00036,s004,0
u00036,s005,1
u00036,s006,0
u00036,s007,0
u00036,s008,1
u00036,s009,0
u00036,s010,0
u00036,s011,1
u00037,s004,0
u00037,s005,1
u00037,s006,0
u00037,s007,0
u00037,s008,0
u00037,s009,0
u00037,s010,0
u00037,s011,1
u00038,s004,1
u00038,s005,0
u00038,s006,1
u00038,s007,1
u00038,s008,0
u00038,s009,1
u00038,s010,1
u00038,s011,0
u00039,s004,1
u00039,s005,0
u00039,s006,0
u00039,s007,0
u00039,s008,1
u00039,s009,0
u00039,s010,1
u00039,s011,0
u00040,s004,1
u00040,s005,0
u00040,s006,1
u00040,s007,1
u00040,s008,0
u00040,s009,0
u00040,s010,1
u00040,s011,0
u00041,s004,0
u00041,s005,0
u00041,s006,1
u00041,s007,1
u00041,s008,1
u00041,s009,0
u00041,s010,0
u00041,s011,1
u00042,s004,1
u00042,s005,1
u00042,s006,0
u00042,s007,0
u00042,s008,0
u00042,s009,0
u00042,s010,1
u00042,s011,0
u00043,s004,1
u00043,s005,1
u00043,s006,0
u00043,s007,1
u00043,s008,0
u00043,s009,1
u00043,s010,1
u00043,s011,1
u00044,s004,1
u00044,s005,1
u00044,s006,1
u00044,s007,0
u00044,s008,1
u00044,s009,0
u00044,s010,0
u00044,s011,0
u00045,s004,1
u00045,s005,0
u00045,s006,0
u00045,s007,1
u00045,s008,0
u00045,s009,0
u00045,s010,1
u00045,s011,0
u00046,s004,0
u00046,s005,1
u00046,s006,0
u00046,s007,1
u00046,s008,1
u00046,s009,0
u00046,s010,0
u00046,s011,0
u00047,s004,1
u00047,s005,0
u00047,s006,0
u00047,s007,0
u00047,s008,0
u00047,s009,1
u00047,s010,1
u00047,s011,0
u00048,s004,0
u00048,s005,0
u00048,s006,0
u00048,s007,1
u00048,s008,1
u00048,s009,0
u00048,s010,0
u00048,s011,0
u00049,s004,1
u00049,s005,0
u00049,s006,0
u00049,s007,1
u00049,s008,0
u00049,s009,0
u00049,s010,1
u00049,s011,1
u00050,s004,1
u00050,s005,0
u00050,s006,0
u00050,s007,0
u00050,s008,0
u00050,s009,0
u00050,s010,1
u00050,s011,1
u00051,s004,1
u00051,s005,1
u00051,s006,0
u00051,s007,1
u00051,s008,1
u00051,s009,0
u00051,s010,1
u00051,s011,0
u00052,s004,1
u00052,s005,1
u00052,s006,0
u00052,s007,0
u00052,s008,1
u00052,s009,0
u00052,s010,1
u00052,s011,0
u00053,s004,0
u00053,s005,1
u00053,s006,1
u00053,s007,1
u00053,s008,0
u00053,s009,1
u00053,s010,0
u00053,s011,1
u00054,s004,0
u00054,s005,0
u00054,s006,0
u00054,s007,1
u00054,s008,0
u00054,s009,1
u00054,s010,1
u00054,s011,1
u00055,s004,1
u00055,s005,1
u00055,s006,0
u00055,s007,1
u00055,s008,0
u00055,s009,0
u00055,s010,0
u00055,s011,1
u00056,s004,1
u00056,s005,0
u00056,s006,0
u00056,s007,0
u00056,s008,0
u00056,s009,0
u00056,s010,1
u00056,s011,0
u00057,s004,1
u00057,s005,1
u00057,s006,0
u00057,s007,0
u00057,s008,1
u00057,s009,0
u00057,s010,1
u00057,s011,0
u00058,s004,1
u00058,s005,0
u00058,s006,1
u00058,s007,0
u00058,s008,0
u00058,s009,1
u00058,s010,1
u00058,s011,0
u00059,s004,1
u00059,s005,0
u00059,s006,1
u00059,s007,0
u00059,s008,0
u00059,s009,0
u00059,s010,1
u00059,s011,0
u00060,s004,0
u00060,s005,1
u00060,s006,0
u00060,s007,0
u00060,s008,0
u00060,s009,0
u00060,s010,0
u00060,s011,1
u00061,s004,0
u00061,s005,1
u00061,s006,1
u00061,s007,0
u00061,s008,0
u00061,s009,1
u00061,s010,0
u00061,s011,0
u00062,s004,1
u00062,s005,0
u00062,s006,0
u00062,s007,0
u00062,s008,0
u00062,s009,0
u00062,s010,1
u00062,s011,0
u00063,s004,0
u00063,s005,1
u00063,s006,1
u00063,s007,0
u00063,s008,1
u00063,s009,0
u00063,s010,0
u00063,s011,0
u00064,s004,0
u00064,s005,0
u00064,s006,0
u00064,s007,0
u00064,s008,0
u00064,s009,1
u00064,s010,0
u00064,s011,0
u00065,s004,0
u00065,s005,0
u00065,s006,1
u00065,s007,0
u00065,s008,0
u00065,s009,1
u00065,s010,0
u00065,s011,0
u00066,s004,0
u00066,s005,1
u00066,s006,0
u00066,s007,0
u00066,s008,0
u00066,s009,0
u00066,s010,0
u00066,s011,1
u00067,s004,0
u00067,s005,1
u00067,s006,0
u00067,s007,0
u00067,s008,0
u00067,s009,0
u00067,s010,0
u00067,s011,1
u00068,s004,0
u00068,s005,1
u00068,s006,0
u00068,s007,0
u00068,s008,0
u00068,s009,0
u00068,s010,0
u00068,s011,1
u00069,s004,1
u00069,s005,0
u00069,s006,1
u00069,s007,1
u00069,s008,0
u00069,s009,0
u00069,s010,1
u00069,s011,0
u00070,s004,0
u00070,s005,1
u00070,s006,0
u00070,s007,1
u00070,s008,0
u00070,s009,0
u00070,s010,0
u00070,s011,1
u00071,s004,0
u00071,s005,0
u00071,s006,0
u00071,s007,0
u00071,s008,0
u00071,s009,1
u00071,s010,0
u00071,s011,0
u00072,s004,0
u00072,s005,0
u00072,s006,0
u00072,s007,1
u00072,s008,0
u00072,s009,0
u00072,s010,0
u00072,s011,0
u00073,s004,1
u00073,s005,1
u00073,s006,0
u00073,s007,0
u00073,s008,1
u00073,s009,0
u00073,s010,1
u00073,s011,1
u00074,s004,0
u00074,s005,1
u00074,s006,0
u00074,s007,0
u00074,s008,0
u00074,s009,0
u00074,s010,1
u00074,s011,1
u00075,s004,1
u00075,s005,0
u00075,s006,1
u00075,s007,1
u00075,s008,1
u00075,s009,0
u00075,s010,1
u00075,s011,0
u00076,s004,1
u00076,s005,0
u00076,s006,0
u00076,s007,0
u00076,s008,0
u00076,s009,0
u00076,s010,1
u00076,s011,0
u00077,s004,1
u00077,s005,0
u00077,s006,0
u00077,s007,0
u00077,s008,0
u00077,s009,0
u00077,s010,1
u00077,s011,0
u00078,s004,1
u00078,s005,1
u00078,s006,0
u00078,s007,0
u00078,s008,0
u00078,s009,1
u00078,s010,1
u00078,s011,1
u00079,s004,1
u00079,s005,0
u00079,s006,1
u00079,s007,1
u00079,s008,1
u00079,s009,1
u00079,s010,0
u00079,s011,1
u00080,s004,1
u00080,s005,1
u00080,s006,0
u00080,s007,0
u00080,s008,0
u00080,s009,0
u00080,s010,1
u00080,s011,1
u00081,s004,0
u00081,s005,1
u00081,s006,0
u00081,s007,0
u00081,s008,0
u00081,s009,0
u00081,s010,0
u00081,s011,1
u00082,s004,1
u00082,s005,0
u00082,s006,1
u00082,s007,0
u00082,s008,1
u00082,s009,0
u00082,s010,1
u00082,s011,0
u00083,s004,1
u00083,s005,0
u00083,s006,1
u00083,s007,0
u00083,s008,1
u00083,s009,1
u00083,s010,1
u00083,s011,0
u00084,s004,0
u00084,s005,0
u00084,s006,1
u00084,s007,0
u00084,s008,0
u00084,s009,0
u00084,s010,1
u00084,s011,1
u00085,s004,0
u00085,s005,1
u00085,s006,0
u00085,s007,0
u00085,s008,0
u00085,s009,0
u00085,s010,0
u00085,s011,1
u00086,s004,0
u00086,s005,0
u00086,s006,1
u00086,s007,1
u00086,s008,0
u00086,s009,0
u00086,s010,0
u00086,s011,1
u00087,s004,1
u00087,s005,0
u00087,s006,1
u00087,s007,0
u00087,s008,1
u00087,s009,0
u00087,s010,1
u00087,s011,0
u00088,s004,1
u00088,s005,1
u00088,s006,0
u00088,s007,0
u00088,s008,0
u00088,s009,0
u00088,s010,1
u00088,s011,0
u00089,s004,1
u00089,s005,0
u00089,s006,0
u00089,s007,1
u00089,s008,0
